Error for realdata\colleges_aaup.csv : 0.9621478007421022  Time : 0:01:25.478095 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9675205601362393  Time : 0:01:24.113756 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9685625496035419  Time : 0:01:22.756883 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\colleges_aaup.csv : 0.9621478007421022  Time : 0:01:26.353952 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9675205601362393  Time : 0:01:18.579424 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9685625496035419  Time : 0:01:20.182881 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\colleges_aaup.csv : 0.9690574588910209  Time : 0:01:20.262954 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\colleges_aaup.csv : 0.9686138306113439  Time : 0:01:21.805357 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\colleges_aaup.csv : 0.971558225235379  Time : 0:01:21.934245 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\colleges_aaup.csv : 0.977929557292686  Time : 0:02:37.497154 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9710933968943104  Time : 0:02:36.082869 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\colleges_aaup.csv : 0.9705742569247988  Time : 0:02:39.698156 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\colleges_aaup.csv : 0.9665377698984263  Time : 0:02:39.742195 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\colleges_aaup.csv : 0.9774141773964052  Time : 0:02:43.161302 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\colleges_aaup.csv : 0.9690979606819848  Time : 0:02:43.881957 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\colleges_usnews.csv : 0.7411183137116198  Time : 0:01:40.274202 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\colleges_usnews.csv : 0.7369978241315053  Time : 0:01:42.121882 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\colleges_usnews.csv : 0.746947760736119  Time : 0:01:42.341112 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\colleges_usnews.csv : 0.731561326207253  Time : 0:01:42.352119 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\colleges_usnews.csv : 0.7499240859143992  Time : 0:01:47.779508 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\colleges_usnews.csv : 0.740620027395494  Time : 0:01:49.681396 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\colleges_usnews.csv : 0.7361067858075669  Time : 0:03:43.505078 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\colleges_usnews.csv : 0.7459490210955829  Time : 0:03:31.880423 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\colleges_usnews.csv : 0.7394188472859857  Time : 0:03:45.958648 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\colleges_usnews.csv : 0.7419708795523859  Time : 0:03:41.786087 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\colleges_usnews.csv : 0.7478518038808513  Time : 0:03:41.323318 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\colleges_usnews.csv : 0.7347249194076106  Time : 0:03:35.827730 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\echoMonths.csv : 0.4407221974880458  Time : 0:00:06.932300 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\echoMonths.csv : 0.4487691163239151  Time : 0:00:06.817198 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\echoMonths.csv : 0.46121151133941024  Time : 0:00:06.972338 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\echoMonths.csv : 0.426317940556296  Time : 0:00:06.996360 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\echoMonths.csv : 0.4293613792376842  Time : 0:00:07.210555 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\echoMonths.csv : 0.4193993213047447  Time : 0:00:07.406242 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\echoMonths.csv : 0.4159003726229158  Time : 0:00:14.301505 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\echoMonths.csv : 0.45456386067901916  Time : 0:00:15.211599 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\echoMonths.csv : 0.39366211820836244  Time : 0:00:14.811243 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\echoMonths.csv : 0.43306565274772674  Time : 0:00:15.166749 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\echoMonths.csv : 0.37304834298369166  Time : 0:00:16.051201 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
