Error for realdata\colleges_aaup.csv : 0.9818537410251487  Time : 0:00:09.467206 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:12.237136 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979733802140504  Time : 0:00:15.487806 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:18.438406 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:20.803757 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:24.755430 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9762872902854507  Time : 0:00:27.294796 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9776571532991494  Time : 0:00:31.977458 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9803831527898547  Time : 0:00:35.212588 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:01:16.002921 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:01:15.668785 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:01:19.710474 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:23.964339 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:27.430477 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:32.146774 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9809679481114921  Time : 0:01:35.644954 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:40.559421 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:43.710286 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:02:29.205643 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:02:34.229257 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:02:37.548226 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:02:42.785990 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:02:47.807554 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:02:52.729533 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979777092183794  Time : 0:02:56.555507 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:03:03.318645 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979777092183794  Time : 0:03:09.038857 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.729641765280026  Time : 0:02:02.460321 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7464873127784959  Time : 0:02:09.278520 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7374776042557559  Time : 0:02:15.406100 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7427984898640121  Time : 0:02:21.728849 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7379895737184562  Time : 0:02:29.607024 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7349839566322289  Time : 0:02:39.721204 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7357552280174211  Time : 0:02:50.732195 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7347070181576781  Time : 0:02:57.106005 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7290504479187008  Time : 0:03:07.460416 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7545945716769553  Time : 0:04:11.268440 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7366512109964993  Time : 0:04:20.888171 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7485359235772918  Time : 0:04:32.699414 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7467003183395788  Time : 0:04:46.726657 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7326533809339592  Time : 0:05:00.899045 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7414536053385914  Time : 0:05:14.914795 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7316432125761172  Time : 0:05:26.346668 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.740372771606685  Time : 0:05:40.312378 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7429383850527395  Time : 0:05:56.344956 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7345128967738365  Time : 0:07:12.453131 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7466053829488102  Time : 0:07:26.226663 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7395254113302661  Time : 0:07:59.531930 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_usnews.csv : 0.7381106377258473  Time : 0:08:11.512836 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_usnews.csv : 0.7376911048511072  Time : 0:08:24.710827 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7342888919594351  Time : 0:08:38.297685 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 100}
