FICE,State,Public/private_indicator,Average_Math_SAT_score,Average_Verbal_SAT_score,Average_Combined_SAT_score,Average_ACT_score,First_quartile-Math_SAT,Third_quartile-Math_SAT,First_quartile-Verbal_SAT,Third_quartile-Verbal_SAT,First_quartile-ACT,Third_quartile-ACT,Number_of_applications_received,Number_of_applicants_accepted,Number_of_new_students_enrolled,Pct._new_students_from_top_10Perc_of_H.S._class,Pct._new_students_from_top_25Perc_of_H.S._class,Number_of_fulltime_undergraduates,Number_of_parttime_undergraduates,In-state_tuition,Out-of-state_tuition,Room_and_board_costs,Room_costs,Board_costs,Additional_fees,Estimated_book_costs,Estimated_personal_spending,Pct._of_faculty_with_Ph.D.s,Pct._of_faculty_with_terminal_degree,Student/faculty_ratio,Pct.alumni_who_donate,Instructional_expenditure_per_student,binaryClass
3703,VA,2,431.0,388.0,819.0,20.0,?,?,?,?,?,?,377.0,358.0,181.0,15.0,30.0,653.0,129.0,7150.0,7150.0,4350.0,2770.0,1580.0,?,450.0,1500.0,61.0,67.0,178.0,3.0,6259.0,1
3606,TX,1,?,?,?,21.0,?,?,?,?,18.0,22.0,4839.0,3549.0,1577.0,41.0,41.0,8901.0,2245.0,840.0,5130.0,2970.0,1500.0,1490.0,688.0,900.0,?,76.0,90.0,272.0,?,4029.0,1
2777,NY,2,?,?,?,?,?,?,?,?,?,?,384.0,223.0,143.0,6.0,41.0,1146.0,236.0,8920.0,8920.0,4400.0,2500.0,1900.0,80.0,800.0,2050.0,65.0,70.0,162.0,16.0,7891.0,0
2638,NJ,2,428.0,379.0,807.0,?,340.0,490.0,310.0,430.0,?,?,1606.0,1413.0,530.0,23.0,38.0,1921.0,1154.0,9408.0,9408.0,5520.0,2820.0,2700.0,295.0,500.0,450.0,78.0,78.0,121.0,22.0,7669.0,1
2944,NC,2,442.0,406.0,848.0,20.0,380.0,510.0,350.0,460.0,?,?,1056.0,873.0,385.0,15.0,38.0,1111.0,244.0,6950.0,6950.0,3550.0,1900.0,1650.0,600.0,600.0,?,60.0,67.0,119.0,17.0,6786.0,0
2737,NY,2,457.0,410.0,867.0,19.0,390.0,510.0,350.0,460.0,16.0,22.0,4892.0,3530.0,913.0,13.0,33.0,3906.0,1446.0,10690.0,10690.0,6790.0,?,?,270.0,570.0,1150.0,66.0,83.0,160.0,14.0,8107.0,0
2032,LA,2,469.0,438.0,890.0,21.0,395.0,535.0,375.0,496.0,18.0,23.0,2097.0,1915.0,695.0,34.0,61.0,2793.0,166.0,6900.0,6900.0,4200.0,?,?,200.0,617.0,781.0,67.0,75.0,144.0,20.0,8323.0,1
4766,NY,1,?,?,?,?,?,?,?,?,?,?,5377.0,2872.0,1300.0,18.0,54.0,8247.0,4328.0,2450.0,5050.0,?,?,?,112.0,500.0,500.0,83.0,88.0,182.0,7.0,5801.0,1
3523,TN,1,?,?,?,?,?,?,?,?,?,?,2594.0,2542.0,1580.0,11.0,29.0,6461.0,910.0,1740.0,4025.0,3625.0,1505.0,2125.0,?,700.0,1400.0,76.0,84.0,169.0,?,5799.0,1
10392,VA,2,?,?,?,?,?,?,?,?,?,?,2814.0,2810.0,769.0,?,?,3350.0,253.0,5700.0,5700.0,4380.0,4380.0,?,910.0,550.0,?,55.0,71.0,179.0,?,?,0
3613,TX,2,?,?,?,?,?,?,?,?,22.0,27.0,4301.0,3455.0,1166.0,41.0,69.0,4892.0,387.0,12772.0,12772.0,5078.0,2652.0,2426.0,?,576.0,1802.0,74.0,88.0,135.0,17.0,12726.0,0
2518,MO,1,?,?,?,24.0,?,?,?,?,22.0,27.0,1901.0,1340.0,655.0,33.0,64.0,3416.0,1984.0,3475.0,9501.0,3685.0,1980.0,1705.0,?,?,?,98.0,98.0,116.0,8.0,12453.0,1
2051,ME,2,460.0,420.0,880.0,?,390.0,510.0,370.0,470.0,?,?,833.0,682.0,217.0,12.0,33.0,716.0,2196.0,9985.0,9985.0,5180.0,?,?,295.0,500.0,800.0,53.0,89.0,272.0,8.0,4322.0,0
2517,MO,1,655.0,547.0,1202.0,27.0,590.0,710.0,480.0,600.0,25.0,31.0,1877.0,1826.0,823.0,49.0,77.0,3926.0,561.0,3030.0,9057.0,3600.0,?,?,551.0,700.0,1435.0,88.0,88.0,144.0,23.0,9699.0,1
3915,WI,1,?,?,?,21.0,?,?,?,?,18.0,21.0,2593.0,1966.0,1030.0,9.0,32.0,6038.0,579.0,1916.0,6704.0,2592.0,1404.0,1188.0,400.0,376.0,1750.0,78.0,78.0,210.0,17.0,6254.0,0
1972,KY,2,?,?,?,18.0,?,?,?,?,?,?,1089.0,865.0,382.0,?,?,1006.0,164.0,6600.0,6600.0,3550.0,1400.0,2150.0,80.0,400.0,500.0,32.0,?,193.0,?,5067.0,0
2456,MO,2,?,?,?,20.0,?,?,?,?,?,?,314.0,158.0,132.0,10.0,28.0,690.0,5346.0,8294.0,8294.0,3700.0,1372.0,2328.0,45.0,400.0,900.0,87.0,87.0,153.0,2.0,5015.0,1
2540,NE,2,?,?,?,?,?,?,?,?,?,?,305.0,230.0,107.0,16.0,40.0,503.0,801.0,9000.0,9000.0,3500.0,3500.0,?,380.0,400.0,?,23.0,25.0,89.0,?,6696.0,1
1879,IA,2,?,?,?,22.0,?,?,?,?,19.0,25.0,586.0,533.0,239.0,16.0,36.0,950.0,228.0,10520.0,10520.0,3678.0,1812.0,1866.0,181.0,500.0,1000.0,48.0,68.0,130.0,32.0,8111.0,1
1052,AL,1,?,?,?,21.0,?,?,?,?,18.0,24.0,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,5175.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,96.0,67.0,16.0,16352.0,1
3456,SC,1,516.0,470.0,986.0,18.0,460.0,570.0,410.0,520.0,16.0,20.0,2320.0,1805.0,769.0,24.0,61.0,3395.0,670.0,3620.0,6400.0,3392.0,2058.0,1334.0,?,580.0,2150.0,71.0,80.0,128.0,26.0,6729.0,1
3620,TX,2,577.0,526.0,1103.0,25.0,520.0,640.0,470.0,580.0,23.0,28.0,1244.0,912.0,352.0,44.0,77.0,1177.0,43.0,11850.0,11850.0,4675.0,2150.0,2525.0,?,600.0,1050.0,83.0,89.0,113.0,35.0,12995.0,0
3166,OK,2,531.0,501.0,1032.0,23.0,440.0,620.0,450.0,580.0,21.0,26.0,940.0,653.0,275.0,30.0,52.0,1613.0,541.0,?,?,?,?,?,?,?,?,59.0,65.0,146.0,13.0,7454.0,1
2178,MA,2,742.0,639.0,1381.0,31.0,720.0,780.0,570.0,690.0,29.0,33.0,6411.0,2140.0,1078.0,96.0,99.0,4481.0,28.0,20100.0,20100.0,5975.0,3200.0,2775.0,600.0,725.0,1600.0,99.0,99.0,101.0,35.0,33541.0,0
3875,WI,2,490.0,475.0,965.0,21.0,450.0,570.0,440.0,550.0,?,?,907.0,802.0,200.0,15.0,30.0,726.0,61.0,9570.0,9570.0,3750.0,1560.0,2190.0,230.0,350.0,?,58.0,75.0,159.0,?,7774.0,1
3069,OH,2,?,?,?,19.0,?,?,?,?,18.0,22.0,57.0,55.0,32.0,17.0,48.0,435.0,1174.0,6992.0,6992.0,?,?,?,300.0,720.0,3285.0,17.0,24.0,96.0,8.0,7256.0,1
2586,NH,2,?,?,?,?,360.0,500.0,370.0,480.0,?,?,484.0,386.0,141.0,6.0,28.0,590.0,1196.0,9870.0,9870.0,4860.0,4860.0,?,220.0,600.0,1100.0,59.0,59.0,122.0,19.0,6744.0,0
7032,KS,2,?,?,?,22.0,?,?,?,?,18.0,24.0,331.0,331.0,225.0,15.0,36.0,1100.0,166.0,6840.0,6840.0,3720.0,?,?,472.0,1100.0,4913.0,33.0,33.0,154.0,20.0,5524.0,1
2038,ME,2,640.0,580.0,1220.0,?,570.0,690.0,520.0,620.0,?,?,3356.0,1019.0,418.0,76.0,100.0,1490.0,8.0,19030.0,19030.0,5885.0,2620.0,3265.0,325.0,1495.0,875.0,93.0,96.0,112.0,52.0,20447.0,0
3289,PA,2,?,?,?,?,570.0,680.0,460.0,570.0,?,?,6397.0,4304.0,1092.0,40.0,84.0,4298.0,132.0,18700.0,18700.0,5580.0,3160.0,2420.0,250.0,750.0,1130.0,96.0,99.0,125.0,43.0,14665.0,0
3502,TN,2,?,?,?,23.0,?,?,?,?,19.0,26.0,787.0,562.0,363.0,21.0,55.0,925.0,605.0,5950.0,5950.0,2890.0,1200.0,1690.0,120.0,600.0,1300.0,67.0,72.0,146.0,35.0,5177.0,1
3224,OR,2,527.0,474.0,1001.0,?,470.0,580.0,420.0,530.0,?,?,1758.0,1485.0,419.0,27.0,58.0,2041.0,174.0,12040.0,12040.0,4100.0,1750.0,2350.0,80.0,600.0,1100.0,92.0,96.0,132.0,17.0,9060.0,0
2008,LA,1,?,?,?,22.0,?,?,?,?,19.0,25.0,2397.0,2144.0,1525.0,22.0,45.0,6720.0,1822.0,2262.0,3957.0,2325.0,1245.0,1080.0,?,618.0,1656.0,66.0,77.0,200.0,13.0,4546.0,1
3510,TN,1,503.0,439.0,942.0,20.0,440.0,500.0,380.0,490.0,18.0,23.0,4587.0,3423.0,2132.0,?,?,12541.0,2885.0,1616.0,5550.0,2352.0,1584.0,974.0,176.0,500.0,?,69.0,72.0,192.0,10.0,4902.0,1
10366,TX,1,578.0,491.0,1069.0,25.0,510.0,640.0,430.0,550.0,22.0,27.0,14474.0,10519.0,6392.0,49.0,85.0,31643.0,2798.0,840.0,5130.0,3412.0,1772.0,1640.0,751.0,600.0,2144.0,89.0,91.0,231.0,29.0,8471.0,0
2086,MD,2,510.0,460.0,970.0,?,440.0,570.0,400.0,510.0,?,?,1321.0,1159.0,328.0,15.0,36.0,1243.0,79.0,12850.0,12850.0,6200.0,3100.0,3100.0,?,550.0,900.0,77.0,82.0,128.0,36.0,8536.0,0
3714,VA,2,475.0,442.0,917.0,?,430.0,580.0,420.0,480.0,?,?,7178.0,3755.0,1433.0,25.0,63.0,4623.0,740.0,7161.0,7161.0,3518.0,1838.0,1680.0,603.0,600.0,2000.0,60.0,64.0,140.0,9.0,6791.0,0
3157,OK,2,?,?,?,?,?,?,?,?,?,?,1171.0,710.0,400.0,?,?,3236.0,434.0,1604.0,2064.0,2580.0,1484.0,1096.0,250.0,500.0,2106.0,69.0,69.0,417.0,?,3440.0,0
2024,LA,1,?,?,?,19.0,?,?,?,?,?,?,3247.0,3247.0,2297.0,?,?,9724.0,2192.0,1910.0,3854.0,2230.0,1030.0,1200.0,?,250.0,?,61.0,61.0,243.0,13.0,3666.0,1
1814,IN,1,415.0,387.0,802.0,?,?,?,?,?,?,?,1108.0,1086.0,723.0,4.0,26.0,1139.0,2070.0,2369.0,6140.0,?,?,?,90.0,660.0,?,60.0,79.0,147.0,31.0,6303.0,1
3528,TN,2,?,?,?,24.0,?,?,?,?,?,?,846.0,752.0,406.0,35.0,84.0,1688.0,502.0,5780.0,5780.0,2530.0,1580.0,950.0,134.0,550.0,600.0,44.0,52.0,135.0,13.0,3861.0,0
3042,OH,2,?,?,?,?,520.0,630.0,460.0,570.0,25.0,29.0,2762.0,2279.0,533.0,32.0,60.0,1835.0,14.0,16900.0,16900.0,4720.0,2600.0,2120.0,820.0,500.0,600.0,88.0,97.0,116.0,45.0,12423.0,0
9092,MI,1,634.0,543.0,1177.0,27.0,580.0,700.0,490.0,600.0,25.0,30.0,19152.0,12940.0,4893.0,66.0,92.0,22045.0,1339.0,5040.0,15732.0,4659.0,?,?,175.0,476.0,1600.0,90.0,98.0,115.0,26.0,14847.0,0
1937,KS,2,?,?,?,?,?,?,?,?,16.0,24.0,607.0,388.0,236.0,8.0,19.0,538.0,36.0,7250.0,7250.0,3245.0,1945.0,1300.0,?,400.0,2730.0,47.0,57.0,145.0,19.0,?,1
2482,MO,2,506.0,457.0,963.0,24.0,430.0,590.0,400.0,500.0,21.0,27.0,549.0,397.0,169.0,26.0,51.0,1343.0,1751.0,9250.0,9250.0,4550.0,4550.0,?,?,425.0,1350.0,52.0,58.0,131.0,13.0,5925.0,0
2530,MT,1,?,?,?,?,390.0,530.0,360.0,470.0,16.0,22.0,931.0,912.0,596.0,7.0,23.0,2482.0,868.0,2142.0,5866.0,3300.0,1900.0,1400.0,60.0,600.0,2000.0,70.0,84.0,185.0,?,5105.0,1
2382,MN,2,580.0,520.0,1100.0,26.0,520.0,650.0,460.0,590.0,23.0,28.0,2248.0,1673.0,745.0,38.0,73.0,2888.0,105.0,14350.0,14350.0,3750.0,2050.0,1700.0,?,550.0,550.0,82.0,88.0,100.0,31.0,12502.0,0
1822,IN,2,455.0,408.0,863.0,21.0,?,?,?,?,?,?,735.0,423.0,366.0,20.0,48.0,2448.0,707.0,9210.0,9210.0,3782.0,1558.0,2224.0,?,700.0,1000.0,49.0,51.0,398.0,15.0,6562.0,1
3464,SD,2,?,?,?,?,?,?,?,?,15.0,20.0,600.0,197.0,124.0,3.0,9.0,392.0,69.0,7260.0,7260.0,3090.0,1910.0,1180.0,330.0,600.0,1840.0,31.0,35.0,129.0,4.0,9249.0,1
2760,NY,2,524.0,500.0,1024.0,?,490.0,590.0,470.0,585.0,?,?,962.0,750.0,212.0,21.0,54.0,830.0,150.0,14700.0,14700.0,6550.0,3600.0,2950.0,410.0,450.0,400.0,97.0,97.0,113.0,24.0,11291.0,0
3184,OK,1,?,?,?,24.0,?,?,?,?,21.0,27.0,4743.0,3970.0,2233.0,32.0,63.0,13436.0,2582.0,1737.0,5173.0,3526.0,?,?,166.0,765.0,3176.0,86.0,90.0,115.0,11.0,10244.0,1
3378,PA,2,680.0,594.0,1274.0,29.0,640.0,730.0,550.0,650.0,27.0,31.0,12394.0,5232.0,2464.0,85.0,100.0,9205.0,531.0,17020.0,17020.0,7270.0,3700.0,3570.0,1836.0,500.0,1544.0,95.0,96.0,63.0,38.0,25765.0,0
2117,MA,2,?,?,?,?,420.0,490.0,410.0,480.0,?,?,350.0,283.0,82.0,9.0,34.0,367.0,406.0,10800.0,10800.0,4835.0,?,?,550.0,500.0,?,45.0,45.0,117.0,13.0,5982.0,0
2238,MI,2,?,?,?,20.0,?,?,?,?,?,?,1130.0,704.0,322.0,14.0,23.0,1586.0,326.0,9996.0,9996.0,3090.0,1815.0,1275.0,135.0,900.0,1320.0,62.0,66.0,115.0,18.0,10908.0,1
6965,PA,1,583.0,500.0,1083.0,?,530.0,651.0,450.0,560.0,?,?,19315.0,10344.0,3450.0,48.0,93.0,28938.0,2025.0,4966.0,10645.0,4060.0,1840.0,2220.0,70.0,512.0,2394.0,77.0,96.0,181.0,19.0,8992.0,0
3008,ND,1,?,?,?,?,?,?,?,?,?,?,368.0,344.0,212.0,5.0,27.0,863.0,189.0,1606.0,4286.0,2570.0,1820.0,750.0,245.0,600.0,2000.0,39.0,41.0,149.0,25.0,4958.0,1
2001,KY,2,512.0,452.0,964.0,23.0,?,?,?,?,?,?,808.0,594.0,218.0,?,?,756.0,502.0,9490.0,9490.0,3892.0,2248.0,1644.0,110.0,400.0,880.0,65.0,55.0,105.0,18.0,7678.0,0
2007,LA,2,?,?,?,?,?,?,?,?,21.0,23.0,2013.0,1053.0,212.0,33.0,61.0,912.0,158.0,5150.0,5150.0,3036.0,?,?,420.0,500.0,1655.0,64.0,74.0,105.0,11.0,7547.0,1
3985,OK,2,520.0,490.0,1010.0,23.0,380.0,550.0,370.0,510.0,17.0,25.0,1223.0,650.0,632.0,13.0,37.0,2645.0,167.0,7950.0,7950.0,3994.0,1744.0,2250.0,380.0,480.0,1000.0,51.0,69.0,155.0,?,7885.0,1
