A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
?;168;2;?;?;39;1;?;?;?;1;?;0;1;0
72;?;2;?;4;5;1;?;?;?;?;0;0;0;0
?;52;?;4;?;?;1;?;?;?;?;0;?;?;0
60;169;1;5;?;1;12;?;?;1;?;1;1;?;1
44;?;?;?;4;?;15;?;18;68;?;1;1;0;1
?;?;?;?;8;37;3;2;?;?;?;?;1;0;1
16;119;2;3;4;4;1;2;?;?;1;?;0;0;0
?;94;2;11;?;?;?;2;12;120;?;1;?;?;1
?;33;?;2;?;65;?;2;61;117;1;?;?;?;0
315;?;2;?;8;?;4;?;32;36;?;1;1;1;0
?;52;?;?;?;81;?;?;?;144;?;?;?;1;1
?;102;2;?;8;85;?;?;148;1;?;1;?;?;1
49;?;?;8;?;34;4;2;?;79;1;?;?;1;0
?;102;2;?;?;104;?;?;?;?;1;?;?;?;1
?;69;2;?;4;?;?;?;107;1;?;0;?;?;0
284;?;2;4;?;?;1;?;1;196;1;?;0;?;1
142;?;?;9;4;?;?;2;?;?;?;1;1;1;1
33;?;?;6;?;20;?;2;26;?;0;?;?;0;1
42;?;?;4;4;4;?;?;45;?;1;0;?;?;0
69;111;?;?;?;60;8;?;?;?;0;?;?;?;1
129;20;?;?;?;2;?;?;92;?;0;0;0;?;0
?;?;?;?;4;?;?;2;53;1;0;?;0;1;0
?;?;2;2;?;?;1;2;57;1;1;0;?;0;0
?;52;2;4;4;?;?;?;53;1;?;1;0;0;0
?;?;?;?;4;?;1;2;?;?;1;?;?;?;0
176;46;?;?;?;93;?;2;1;1;1;?;1;1;1
?;5;1;4;4;4;?;2;?;?;1;0;0;0;0
?;74;?;8;?;48;2;?;63;235;?;?;1;1;1
?;175;2;?;4;?;2;2;?;20;?;?;?;0;1
77;?;2;?;?;?;?;?;18;?;1;?;1;?;1
118;?;2;8;8;?;4;2;?;66;1;?;?;?;1
?;160;?;?;?;1;1;2;?;?;?;0;0;1;0
305;43;?;?;?;?;?;?;69;50;?;1;?;?;0
77;169;2;?;8;50;?;2;?;?;?;?;1;?;1
?;40;?;?;?;?;?;2;115;54;1;0;?;1;0
?;204;1;1;?;?;3;?;1;102;1;0;?;?;0
95;?;2;?;?;65;?;1;?;?;1;1;0;1;1
236;?;?;?;4;?;7;?;20;1;?;1;?;1;1
282;132;2;?;?;106;7;?;1;164;?;?;1;?;1
?;73;2;?;4;?;?;?;155;?;?;1;?;?;1
?;1;2;13;?;3;?;2;?;?;1;1;0;?;1
?;?;1;6;?;15;1;?;38;?;1;?;0;1;0
?;?;2;?;?;31;1;?;?;216;1;?;0;?;1
