region-centroid-col;region-centroid-row;region-pixel-count;short-line-density-5;short-line-density-2;vedge-mean;vegde-sd;hedge-mean;hedge-sd;intensity-mean;rawred-mean;rawblue-mean;rawgreen-mean;exred-mean;exblue-mean;exgreen-mean;value-mean;saturation-mean;hue-mean;binaryClass
218;178;9;0.111111;0;?;0.547722;?;0.544331;59.6296;52.4444;?;51.2222;-21.5556;46.7778;-25.2222;?;?;?;0
113;130;9;?;?;0.277778;0.250924;0.333333;0.365148;?;?;?;0.111111;?;5;-2.33333;?;1;?;0
202;41;9;0;?;?;?;?;1.0256;123.037;111.889;?;?;-33.4444;50.2222;?;?;?;-2.29992;0
32;?;?;0;0;?;1.78159;9;?;?;?;?;?;-12.1111;?;-15.7778;52.8889;?;-1.99886;0
61;?;9;0;0;1.44444;1.51535;?;?;49.5926;44.2222;?;43;?;35.8889;?;61.5556;0.302925;?;0
149;?;?;0;0;?;?;?;?;49.3333;45.3333;?;43.1111;-12;30.6667;-18.6667;59.5556;?;?;0
197;229;?;0;0;1.38889;?;?;?;17.7407;14.1111;?;21.2222;?;?;?;?;?;?;0
?;?;?;0;?;0.388889;0.240741;?;0.151852;?;6.88889;?;3;?;?;-7.22222;6.88889;?;?;1
?;?;?;?;?;12.1667;267.456;?;205.363;?;?;30.5556;19.4444;?;27.6667;?;?;0.595282;-2.43841;0
?;?;?;0.111111;0;?;8.20741;3.94444;?;?;?;?;15.7778;?;?;-17;?;?;?;1
?;?;9;0;?;4.44444;1.32777;0.944444;?;26.5185;23.3333;33.2222;23;?;20.1111;?;?;?;-2.06324;0
?;153;?;?;0;0.277778;0.062963;0.111111;0.02963;0.37037;?;1.11111;0;-1.11111;?;-1.11111;?;0.888889;?;0
137;?;9;?;?;0.055556;0.136083;0.055556;?;?;0;?;?;?;0.222222;-0.111111;?;0.111111;-2.0944;0
86;?;?;?;0.111111;?;1.45169;?;1.10386;63.2222;56.2222;77.7778;?;-21;?;-22.6667;?;0.285333;-2.06802;0
220;220;9;0.111111;0;?;1.12963;?;?;6.44444;5.66667;?;8.33333;-2.33333;-3.33333;?;?;?;?;0
?;115;?;?;?;1.05556;?;0.166667;?;1.22222;0.444444;?;0.333333;?;5;-2.66667;2.88889;0.933333;-2.06554;0
?;?;?;0;?;1.66667;2;?;2.10741;?;18.7778;?;14.3333;?;18.2222;-15.7778;?;?;-1.68129;1
203;182;9;0;0;?;2.57696;?;?;54.9259;49.4444;?;?;-16.4444;39.5556;?;?;?;-1.98035;0
?;?;9;0;?;?;4.35975;?;1.83384;47.8519;?;56.3333;42.4444;?;?;?;?;0.245321;?;0
?;97;9;0;?;10.1111;?;?;?;?;46;54.3333;?;-5.88889;?;-13.2222;54.3333;0.197115;?;0
?;?;?;0;?;?;0.611616;?;?;0.555556;0.333333;?;0.111111;?;2;-1.33333;?;?;?;0
178;128;?;0;?;0.444444;?;?;0.207407;5.92593;7.88889;?;3.44444;5.88889;?;-7.44444;?;?;?;1
?;134;?;0;?;2.66667;3.15556;?;1.54444;6.18518;2.22222;?;4.88889;-11.8889;15.7778;-3.88889;11.4444;?;?;0
83;?;?;0;0;0.388889;?;?;?;?;?;131.111;?;?;?;-13.8889;131.111;?;?;0
?;?;9;?;0;0.944444;?;1;?;5.77778;?;?;?;?;-4.66667;?;8.88889;0.553812;2.09723;0
225;58;?;?;0;0.333334;?;0.444445;0.344265;?;?;?;5.33333;-8.33333;?;?;?;0.622222;-2.06856;0
?;?;?;0;0;?;0.133333;0.444444;?;?;0;?;?;-4.77778;6.88889;?;3.88889;1;?;0
5;?;9;0;0.111111;?;1.67;?;?;?;45.4444;?;44.1111;-17.5556;?;-21.5556;64.3333;0.317566;?;0
79;?;?;0;0;?;?;0.888887;0.607405;?;?;127.111;102.778;-28.5556;50.7778;-22.2222;?;0.208013;?;0
?;?;9;0;?;6.16667;9.98889;?;28.7852;14.3704;?;22.6667;11.4444;-16.1111;24.8889;-8.77778;22.6667;0.664785;-2.27421;0
?;246;?;?;0;?;1.91775;3;?;17.5185;?;15.4444;22.8889;?;-6.22222;?;22.8889;0.391548;?;0
?;?;9;?;0;?;?;0.333333;0.044444;?;1.77778;6.11111;1.22222;-3.77778;?;-5.44444;6.11111;?;?;0
?;?;?;?;?;0.722222;0.827759;2;?;?;?;?;0.888889;?;5.55556;?;3.66667;?;?;0
?;146;?;0;0;1.88889;1.00741;?;?;21.3704;16.7778;29.6667;?;-13.7778;?;-11.1111;29.6667;0.432786;?;0
93;?;?;?;0;?;2.6963;?;?;12.5185;?;?;17.2222;?;-5.22222;?;17.2222;0.447247;?;0
?;249;?;?;0;2;1.28889;1.5;?;14.7407;10.7778;?;?;-11.8889;1.77778;?;18.1111;0.406212;2.74356;0
48;173;9;0;0;1.16667;1.06979;?;1.64204;19.2222;16.4444;?;?;?;-8.33333;16.6667;?;0.349656;?;0
239;122;9;?;?;0.277778;?;0.333333;?;5.55556;7;?;3;4.33333;?;?;?;?;-0.953435;1
?;145;?;?;0;?;?;?;?;3.40741;?;?;2.11111;?;?;-3.88889;?;?;?;0
?;146;?;0;0;0.055556;?;0.055556;0.136083;0.037037;?;0.111111;0;-0.111111;?;-0.111111;?;0.111111;-2.0944;0
?;?;9;0;0;3.16667;2.09497;?;?;25.8889;?;?;34.1111;?;?;24.6667;?;?;?;0
?;?;?;0;?;1.88889;?;0.055556;0.136083;?;?;1.55556;1;-0.111111;?;-0.777778;1.55556;0.116667;?;0
192;157;?;?;0;1.05556;?;?;0.162963;18.3333;13.8889;17.2222;23.8889;-13.3333;?;16.6667;?;0.418184;2.43862;0
?;249;?;?;0;?;?;2.77778;?;10.5185;?;?;15.8889;?;-7.22222;16.1111;?;?;2.15678;0
?;?;9;0;?;0.333333;0.298142;0.888889;?;1.14815;0;?;0.333333;?;?;-2.44444;3.11111;1;-2.17565;0
?;152;9;?;0;?;1.70741;1.22222;0.82963;1.51852;1;?;?;?;4.11111;?;2.88889;0.648677;-1.93324;0
?;92;9;?;0;0.888889;?;?;0.118519;12.0741;7.55556;?;?;-13.5556;25.4444;?;?;?;?;0
63;?;9;0;0;?;1.73419;?;?;?;54.8889;?;?;?;?;?;76.4444;?;-2.03412;0
?;?;?;?;?;?;?;0.111111;0.02963;?;?;?;0.111111;-3.22222;?;?;3.11111;?;-2.13264;0
118;?;9;?;?;3.27778;4.41852;?;6.81852;8.18519;?;?;6.11111;-13.8889;20.1111;-6.22222;14.8889;0.774121;-2.32909;0
121;60;9;?;?;2.27778;2.32963;2.88889;2.87407;26.7407;?;35.2222;20.3333;-6.22222;?;-19.2222;35.2222;?;?;1
218;115;9;0;?;0.944444;?;?;?;22.963;?;?;?;?;?;-8.88889;29.4444;0.339149;-2.14867;0
209;?;9;0;?;0.833333;0.255559;?;?;?;135.111;150.111;?;?;25.6667;-6.33333;?;?;-2.40159;0
?;?;?;?;0;1.83333;1.29529;1.38889;0.998146;?;10.3333;?;16.8889;?;-6.55556;13.1111;16.8889;?;?;0
?;?;9;0;0;?;2.97894;5.61111;?;?;?;?;48.1111;-19.6667;?;-22.6667;69.7778;?;?;0
?;41;9;?;?;0.833333;?;?;0.172133;0.703704;?;1.22222;?;?;?;-1.11111;?;0.537037;?;0
?;140;9;0;?;4.22222;1.29386;?;?;26.4444;?;?;?;-9;17.6667;?;?;?;?;0
9;94;9;?;0;?;0.551852;1;?;?;?;127.556;?;-18.8889;43.1111;?;127.556;?;-2.01531;0
?;?;9;?;0;0;0;?;0;?;0;?;0;?;0;0;?;0;0;0
56;107;9;0;0;?;0.207407;4.72222;?;?;46.2222;58.3333;?;?;?;?;58.3333;0.230455;-1.99144;0
54;?;9;0;?;?;0.688531;2.66667;?;?;?;62.6667;43.3333;?;36;?;?;0.308573;-1.95141;0
41;?;?;0;0;2.44445;3.0963;?;1.49629;61.2593;56;73.4444;54.3333;?;?;-20.7778;?;?;-2.00292;0
67;?;9;0;?;?;3.70835;2.66667;3.19722;15.5185;9;?;?;?;?;-9.88889;?;0.660813;?;0
?;?;9;?;?;1.33333;0.942809;?;0.327731;?;?;14.5556;6;?;17.1111;-8.55556;?;0.607768;?;0
90;?;?;?;0;0.888889;0.385185;1.72222;?;20.0741;20.3333;?;14.8889;0.777778;?;?;25;?;-1.52012;1
?;?;?;?;0;3.72222;3.70741;?;?;?;11.6667;?;?;-10.5556;-5.55556;16.1111;20.5556;?;?;0
96;?;9;?;?;0.833331;?;?;?;?;122.111;144.778;128.444;-29;39;-10;?;?;?;0
112;90;9;0;?;7.38889;6.94556;?;?;?;?;79.7778;?;?;43.7778;-21.2222;79.7778;?;-2.10881;0
215;182;9;0;0;?;?;?;?;54.1852;48.5556;67.2222;?;?;?;?;?;?;-2.00408;0
?;?;9;?;?;?;?;0.444445;0.344265;8.33333;?;14.1111;?;-8.33333;?;-9;14.1111;0.622222;?;0
88;89;9;0;?;0.777777;0.385185;3.66667;?;?;?;28.4444;?;?;?;-16.3333;28.4444;0.403687;-1.62559;1
91;?;?;?;0;?;?;?;?;16.8519;11.2222;?;?;?;?;-9.88889;25.7778;?;?;0
57;?;9;0;0;2.33333;0.869226;0.999999;0.699206;?;32.7778;47.7778;31.7778;-14;?;-17;47.7778;?;-2.02955;0
211;130;?;?;0;0;?;?;0;?;0;?;0;0;?;0;0;?;0;0
37;?;?;?;0;?;0.344444;?;0.462963;?;0.222222;?;1.11111;?;?;?;4.44444;0.962963;?;0
?;?;?;?;?;?;0.443053;1.77778;?;?;3.77778;14;?;?;17;?;14;?;-2.44232;0
?;?;9;0;?;1;?;?;?;?;79.2222;117.111;?;-42.6667;?;?;?;0.323421;-2.22578;0
?;88;9;?;?;?;?;1.72222;3.39629;?;21.4444;26.3333;15.6667;?;15.5556;-16.4444;?;0.405118;?;1
71;180;9;0.111111;?;1.22222;?;?;1.86666;22.3333;?;?;?;?;-2.66667;14.6667;27.2222;0.327383;2.45383;0
127;120;9;?;0;?;0.844445;?;?;23.6667;?;?;?;?;20.3333;?;?;?;?;1
140;124;9;0;?;1;0.444445;1.11111;?;2.51852;0.222222;6.11111;?;?;10.7778;-3.88889;?;?;-2.26746;0
48;?;9;0;?;?;?;?;?;?;?;?;104.222;-21.7778;47.8889;-26.1111;128.889;0.19308;?;0
?;?;?;?;?;0.5;0.122222;0.5;?;?;?;?;2.66667;?;1.44444;-6.88889;6.77778;0.603836;-0.722894;1
97;?;?;0;0;0.722222;0.507407;?;?;5.85185;7.33333;6.88889;3.33333;?;3.11111;?;7.66667;0.570106;-0.963048;1
?;182;9;0;?;2.38889;1.79402;?;?;?;?;?;?;?;?;-18.7778;?;0.287646;?;0
?;?;9;?;0;1.66667;2.53859;?;?;8.92593;6.33333;?;?;-7.77778;-7.11111;?;?;?;?;0
?;?;9;?;?;?;0.518518;0.888889;0.385185;1.40741;0;3.77778;0.444444;-4.22222;7.11111;?;3.77778;1;?;0
?;?;?;?;?;?;1.22927;0.888889;0.45542;8.88889;7.33333;?;?;-4.66667;?;-4;?;?;?;0
?;196;9;0;?;?;?;2.22222;?;?;41.7778;?;?;-16.4444;?;-17.4444;?;0.294238;?;0
147;?;?;0;?;6.83333;6.61899;?;1.69531;?;37.8889;54.8889;37.2222;-16.3333;34.6667;?;54.8889;0.319706;-2.05039;0
4;?;9;0;0;?;4.01894;5.72222;?;?;44.2222;62.2222;42.7778;?;37.4444;-20.8889;62.2222;?;-2.01443;0
?;41;9;?;?;?;?;?;?;?;?;147.222;?;?;30.2222;-10.7778;?;?;?;0
222;114;?;0;?;0.277778;?;?;0.074074;5.44444;?;?;2.88889;2;?;?;7.33333;0.603175;?;1
?;123;9;0;0;0.611111;?;0.5;0.211111;1.18519;0;?;0.222222;?;6.44444;?;3.33333;1;?;0
129;?;9;?;0;?;3.54074;?;?;?;18.2222;?;19.2222;-14.7778;?;?;32;?;?;0
?;161;9;?;?;0.277778;0.327731;0.777778;?;?;?;?;20.4444;?;?;14.1111;?;0.390957;?;0
175;188;?;?;0;?;?;2.33333;?;?;?;69.1111;48.5556;?;40;-21.6667;69.1111;?;?;0
192;?;9;?;?;?;?;?;0.522222;4.66667;6.77778;4.88889;2.33333;6.33333;0.666667;?;?;0.662037;?;1
101;?;9;?;?;?;4.74444;1.77778;6.29629;?;23.5556;35.7778;?;-8.77778;27.8889;-19.1111;?;?;?;1
?;107;9;?;?;?;2.25185;?;?;?;?;?;?;?;?;?;25.7778;0.547173;?;0
?;?;?;?;?;?;?;?;0.311111;?;?;?;?;3.44444;?;?;7.77778;?;-1.12182;1
?;107;9;?;?;1.16667;?;?;0.344444;2.22222;0.333333;5.33333;1;-5.66667;?;?;?;0.94709;-2.22635;0
168;13;9;0.111111;?;?;?;?;0.400002;?;119.667;145.444;?;?;45.1111;?;?;?;?;0
?;250;?;?;0;2.27778;?;?;?;9.22222;?;?;13.7778;?;-5.66667;?;13.7778;0.56339;2.19294;0
?;85;?;0;?;1.44444;?;1.77778;0.962963;17.963;?;?;13.1111;?;?;?;21.8889;0.399751;-1.38687;1
?;143;9;?;?;?;0.133333;0.444445;0.074074;?;?;?;2.66667;4.55556;?;-7.11111;6.66667;0.595238;-0.907416;1
108;?;?;0;0;7.05556;4.36866;?;?;?;?;?;46.3333;?;41.5556;-20.7778;?;0.312927;-2.09193;0
?;?;9;0;?;?;1.36296;1.66667;1.42222;18.8889;?;?;14;-4;18.6667;-14.6667;?;0.441092;?;1
187;134;?;?;?;?;?;1.11111;0.385185;?;?;37.4444;?;?;32.2222;?;37.4444;?;-2.21646;0
197;121;9;0;0;?;17.3628;?;?;41.037;37.4444;?;36.2222;-10.7778;25.2222;?;?;?;-1.99554;0
188;42;9;0;0;?;?;?;1.26491;?;?;126.222;?;-39.7778;51.8889;?;126.222;0.241934;-2.41039;0
99;?;9;0;?;0.555555;0.45542;0.555555;0.544331;?;?;?;0.666667;-3.77778;?;-2.11111;?;0.977778;?;0
95;?;9;0;0;?;1.08518;?;3.76296;?;?;122.444;?;-27;50.3333;-23.3333;122.444;?;?;0
153;192;9;0;0;?;1.78159;?;?;53.4444;?;?;48;?;34.6667;?;65;?;-2.1642;0
?;167;?;?;0;?;?;2.05556;0.996296;?;12.8889;?;17.1111;?;?;?;17.1111;0.248449;?;0
69;75;9;0.111111;?;2.11111;1.40741;1.5;2.21111;?;?;?;16.8889;?;?;-17.5556;29.3333;?;-1.64188;1
98;?;?;?;?;?;?;2.55556;5.58518;?;?;27.3333;16.1111;?;?;-16.4444;27.3333;?;?;1
?;116;9;0;?;?;2.81267;0.777778;0.45542;?;?;29.5556;18.4444;-12.2222;?;-10.5556;29.5556;0.395663;?;0
14;28;?;0;?;?;0.074075;?;?;?;?;131.111;?;-37.7778;61.8889;-24.1111;131.111;0.253299;-2.23887;0
