ID-type;Right-Ascension;Declination;Blue_base_1;Blue_base_2;Red_base_1;Red_base_2;blue-band-flux_1;blue-band-flux_2;blue-band-flux_3;blue-band-flux_4;blue-band-flux_5;blue-band-flux_6;blue-band-flux_7;blue-band-flux_8;blue-band-flux_9;blue-band-flux_10;blue-band-flux_11;blue-band-flux_12;blue-band-flux_13;blue-band-flux_14;blue-band-flux_15;blue-band-flux_16;blue-band-flux_17;blue-band-flux_18;blue-band-flux_19;blue-band-flux_20;blue-band-flux_21;blue-band-flux_22;blue-band-flux_23;blue-band-flux_24;blue-band-flux_25;blue-band-flux_26;blue-band-flux_27;blue-band-flux_28;blue-band-flux_29;blue-band-flux_30;blue-band-flux_31;blue-band-flux_32;blue-band-flux_33;blue-band-flux_34;blue-band-flux_35;blue-band-flux_36;blue-band-flux_37;blue-band-flux_38;blue-band-flux_39;blue-band-flux_40;blue-band-flux_41;blue-band-flux_42;blue-band-flux_43;blue-band-flux_44;red-band-flux_1;red-band-flux_2;red-band-flux_3;red-band-flux_4;red-band-flux_5;red-band-flux_6;red-band-flux_7;red-band-flux_8;red-band-flux_9;red-band-flux_10;red-band-flux_11;red-band-flux_12;red-band-flux_13;red-band-flux_14;red-band-flux_15;red-band-flux_16;red-band-flux_17;red-band-flux_18;red-band-flux_19;red-band-flux_20;red-band-flux_21;red-band-flux_22;red-band-flux_23;red-band-flux_24;red-band-flux_25;red-band-flux_26;red-band-flux_27;red-band-flux_28;red-band-flux_29;red-band-flux_30;red-band-flux_31;red-band-flux_32;red-band-flux_33;red-band-flux_34;red-band-flux_35;red-band-flux_36;red-band-flux_37;red-band-flux_38;red-band-flux_39;red-band-flux_40;red-band-flux_41;red-band-flux_42;red-band-flux_43;red-band-flux_44;red-band-flux_45;red-band-flux_46;red-band-flux_47;red-band-flux_48;red-band-flux_49;Scale_Factor;binaryClass
?;?;?;2498;?;?;?;?;4897.299;?;5000.7207;5769.181;6097.5083;?;?;7179.827;9152.51;10251.936;?;10204.268;9550.103;?;?;?;9845.937;?;?;9941.469;9545.514;?;?;?;7618.699;?;?;7813.348;?;6704.273;6220.2944;?;?;5600.5127;?;?;4781.4863;5435.9756;?;5059.641;4531.72;4804.4795;?;8575.653;?;?;?;6287.374;5500.6753;?;5152.6235;?;?;3308.7466;?;?;2845.6604;2824.3228;2406.954;?;2680.675;2640.9106;?;?;3158.562;?;2748.682;?;?;2561.3833;?;?;?;?;1779.3666;2316.8135;?;?;?;?;?;?;1669.9149;?;1891.6134;1040.1157;?;1767.6233;?;1392.4745;?;?;?;0
3;12.106;-62.987;1086;1241;?;?;7660.999;?;?;7240.5156;?;6364.1265;?;?;?;4209.9604;3574.5896;?;2741.708;2536.1704;?;2257.1477;?;?;?;3517.288;?;3119.1765;?;?;?;?;4494.867;?;4192.484;?;3905.3386;?;?;3897.3374;?;?;4278.1904;?;?;4849.0806;4306.2886;3713.5862;?;3162.087;3547.0015;3414.1482;?;4152.1035;4247.2563;?;?;?;4179.368;4063.1357;?;3925.542;?;4374.115;5169.564;5719.9424;5349.4775;5162.749;5133.8965;?;?;?;?;5679.8457;5648.7266;?;6325.7227;6834.1353;7166.9736;?;?;?;?;?;6231.0313;?;?;6653.8022;6648.2983;6879.9707;7056.4053;6817.4297;?;6988.5977;?;6971.783;?;6962.22;?;?;0
?;12.123;-62.554;?;270;63;?;?;?;?;3099.5684;?;3287.7385;?;?;?;3507.8682;3486.153;?;3469.224;3459.9504;?;3684.8008;?;3984.2554;?;?;?;4174.9146;?;4163.845;?;?;4417.5737;?;4406.9824;?;?;4428.674;?;4423.784;?;?;4650.203;4584.017;?;?;4159.5986;3961.5928;3708.7979;?;4149.154;3988.3118;?;?;4432.778;?;?;?;4610.691;4656.005;4788.8213;4983.2246;?;?;?;6074.5273;6095.6157;6193.053;?;?;?;6335.0645;?;?;6745.209;?;6927.477;6893.996;?;?;?;?;6777.8687;?;6722.7876;?;?;6883.7036;6795.325;7048.2163;?;6669.611;?;6679.7715;?;6309.6396;?;?;4638.5244;0;0
4;12.247;?;?;?;?;?;?;?;21255.066;19268.297;17711.97;?;15168.005;?;?;12521.33;11818.067;10889.018;?;?;9430.416;?;8584.794;?;7622.3774;7312.565;7140.923;?;6391.2246;5999.137;5875.398;5746.3623;5396.838;5172.1973;?;4815.9478;?;4459.761;?;?;3841.9033;3859.1426;3671.8264;?;?;3250.7612;?;3096.7456;?;2956.0576;?;6413.311;?;5164.6543;?;3958.5059;3647.6702;3281.0435;2898.4766;?;?;2252.8948;2056.2979;?;?;?;?;?;1352.2681;?;1182.2383;?;1052.0592;998.925;967.04443;?;860.77576;842.1788;791.7011;757.1639;642.9251;717.3131;?;584.4774;?;611.04456;563.2237;539.31323;?;523.3729;507.43262;?;417.1043;454.29834;448.9849;?;?;366.6267;?;?;0
?;?;-62.303;1401;?;1042;1063;15835.385;15097.697;?;15353.485;13989.907;12910.531;12632.643;?;?;?;?;9633.157;?;?;?;?;?;?;?;7943.486;?;?;7574.4756;7269.787;?;?;6705.816;6279.897;?;5943.393;?;?;5499.8228;?;4999.7324;?;?;?;?;3712.3076;4155.444;?;?;3608.2168;7488.1987;7497.984;?;6191.4766;5031.0938;4663.159;4693.296;4070.4497;?;?;3276.9526;3120.1082;2781.6868;2760.6172;3042.2236;?;?;?;?;2175.949;1933.0303;?;1689.355;1679.4261;?;1624.7477;1589.1683;1645.3135;?;?;?;1305.0154;?;?;?;?;1393.4178;1123.1339;?;1083.3488;664.50507;?;?;?;?;?;473.78302;658.4614;?;0;0
4;?;?;515;?;403;419;15979.912;15094.218;15370.212;15239.369;15328.078;?;?;15072.825;?;?;?;12408.219;?;?;?;?;?;10003.715;8808.118;8904.171;9086.357;?;8343.215;?;7615.3594;7044.6343;?;6218.978;?;5428.8525;?;?;4085.0894;4164.544;3538.2634;3710.6106;3175.5344;?;?;2791.1018;?;2261.3606;?;2688.989;?;8252.751;7210.1855;6007.248;?;?;3269.786;?;?;?;1739.0306;?;1812.03;?;?;?;1249.048;?;?;1223.6921;1164.0435;?;1233.8707;?;?;?;?;?;778.29803;877.42194;969.79785;?;?;?;?;639.901;772.8293;?;778.687;?;?;?;474.7234;?;?;?;?;548.6114;327.0243;0;0
?;?;-59.725;497;525;?;338;?;12985.147;?;?;11440.469;10709.527;10513.88;?;10006.818;10419.936;10280.84;?;?;10826.843;10686.38;?;9816.54;9604.077;9120.453;?;8910.248;8196.4375;?;?;7655.234;7093.985;6703.6353;6779.3657;?;?;5861.181;?;5194.947;?;?;?;?;?;?;3844.1506;3935.4822;?;?;3575.3584;?;7961.0493;7285.114;6592.3027;5580.3677;?;?;4097.0713;3740.6775;?;?;2846.8813;?;2431.0405;?;2350.0537;2162.014;1971.1775;1961.1465;?;1826.7579;1686.8623;1712.2323;?;1576.604;1524.3547;?;1386.0132;1308.3948;?;?;?;?;1160.6318;?;?;1026.9476;?;955.3074;969.643;?;793.5584;?;755.927;739.24524;620.88495;?;?;613.297;?;0
?;?;?;?;901;?;313;?;?;?;?;?;?;?;?;7323.314;?;9771.885;10883.393;?;12311.661;?;?;11700.943;11143.558;?;?;10001.185;?;?;?;?;?;7743.5156;7472.489;7283.5825;6912.7373;6603.492;5887.914;?;?;5194.395;5067.2603;?;4577.73;?;?;4211.6626;?;3968.6387;?;10044.846;?;8491.58;?;6180.4287;5547.5474;4610.942;4373.5166;?;3671.5918;3468.4207;?;2944.4543;?;?;2471.9202;2422.0642;?;2508.4607;2423.06;?;2449.3086;2377.6157;?;?;2404.7559;?;2061.674;?;?;2012.293;2020.0157;1771.8873;1789.1986;?;1689.7506;1711.1814;1405.6124;?;1464.9156;?;1135.6611;?;?;1184.9927;1124.3679;?;919.66736;?;0;1
2;12.412;-58.716;?;?;?;328;24852.156;?;21760.83;20237.523;18943.152;17393.51;15909.648;?;13665.589;12418.549;?;11266.554;?;10301.377;9267.467;8862.498;8531.208;?;7631.7754;6992.5796;?;6803.648;6332.862;6151.546;5757.0684;5602.062;?;?;?;4666.2153;?;4566.696;?;?;?;3901.841;?;3494.4;?;3360.6345;?;?;2840.2349;2937.817;?;6314.484;?;5085.8564;4467.588;4057.2092;3483.6692;3018.0198;2804.998;?;2515.787;?;1997.6188;?;1647.861;?;1466.5151;1429.7865;?;1180.0084;1088.0116;?;914.5391;?;980.53406;?;830.7344;722.93805;812.5084;599.4467;?;739.1083;749.727;736.66064;?;399.9993;539.5613;?;466.05176;?;?;?;371.65436;519.1053;440.2402;264.0062;437.77075;?;164.24654;0;0
?;12.457;?;535;?;?;362;?;?;8206.881;?;?;?;10655.782;11683.492;11830.768;11947.654;12491.561;12246.247;?;?;11445.606;11158.038;10857.262;10660.933;10115.6045;?;?;9259.657;9211.437;8996.652;?;8195.625;7893.611;7488.489;?;?;?;5024.628;?;4055.8115;?;?;?;?;?;?;2956.1377;2781.1191;?;?;?;8860.46;7942.778;6748.8486;5461.1025;4254.04;?;3117.0745;2873.852;2530.1887;2465.4946;2390.2512;?;2194.8892;?;2265.336;2270.8445;2185.154;?;2243.853;2189.9412;?;2009.4534;?;2061.6936;?;?;?;1900.6045;?;?;1711.4927;1583.6986;?;?;1332.5717;1389.8938;1322.9568;?;?;?;1068.509;1057.135;?;1112.4063;1024.3774;994.52313;?;887.24164;0;0
