company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
17.219,50.5,18.75,43.0,60.875,26.375,67.75,19.0,?,1
17.891,51.375,19.625,44.0,62.0,26.125,68.125,19.125,48.75,1
?,50.875,19.875,43.875,61.875,27.25,68.5,18.25,49.0,1
?,51.5,20.0,44.0,?,?,69.375,18.375,49.625,1
?,49.0,20.0,41.375,59.75,?,?,16.5,?,1
?,49.0,19.5,41.875,59.625,26.625,66.25,17.125,?,1
?,49.375,19.125,?,60.75,27.25,65.75,16.875,47.875,1
18.672,50.125,19.25,?,61.75,?,66.0,16.875,47.25,1
18.563,49.75,19.0,43.25,61.75,29.0,?,?,?,1
?,50.5,19.125,43.875,?,29.625,66.875,?,47.375,1
?,50.25,?,44.0,62.125,30.0,?,?,47.75,1
19.063,49.75,20.0,44.375,61.25,?,66.5,16.875,?,1
?,?,?,43.5,?,29.0,?,16.5,?,1
18.438,49.25,18.375,43.375,60.375,29.0,?,16.5,47.5,1
19.063,50.25,18.375,43.5,60.375,29.125,?,16.375,47.875,1
20.0,?,18.125,44.0,60.75,30.0,67.0,16.75,49.0,1
?,50.125,?,44.625,60.875,30.0,66.25,17.0,48.125,1
?,50.125,18.625,46.0,61.25,29.75,66.5,16.875,48.75,1
19.891,51.0,18.75,46.5,61.875,31.375,67.375,17.625,49.0,1
?,52.25,18.875,?,63.5,32.125,?,17.875,?,1
?,52.625,18.875,46.5,?,32.125,67.0,?,49.0,1
20.438,53.25,?,46.125,63.625,?,66.375,18.25,?,1
20.5,53.75,19.25,46.0,63.25,30.75,?,18.0,?,1
?,53.75,19.125,45.75,63.25,?,?,18.25,?,1
?,53.5,19.0,45.5,62.375,30.0,?,18.375,46.0,1
?,52.875,18.875,45.0,61.375,29.25,67.375,17.625,44.5,1
?,52.5,19.0,?,61.625,29.25,67.5,18.0,46.0,1
20.891,52.75,19.25,45.25,?,29.5,?,?,46.75,1
20.891,52.125,19.0,?,62.0,?,68.5,17.625,47.0,1
21.063,52.5,19.125,?,62.25,?,68.875,?,47.25,1
?,52.75,19.125,46.875,62.0,?,69.25,18.25,?,1
?,53.375,18.875,46.125,?,28.875,69.0,18.25,47.75,1
?,52.375,18.625,46.375,?,28.875,68.375,17.75,?,1
21.281,52.75,19.0,46.125,62.25,?,69.75,18.375,47.375,1
21.328000000000007,53.0,19.125,46.375,63.0,29.125,70.5,18.875,48.25,1
?,53.125,20.0,46.875,?,?,70.0,18.625,48.0,1
?,52.625,?,46.75,63.5,?,69.875,18.125,?,1
21.328000000000007,52.25,19.25,46.375,63.25,27.625,69.5,18.125,?,1
?,52.25,19.375,?,63.375,27.5,69.625,18.375,49.5,1
21.109,52.5,19.25,46.875,63.5,28.125,70.625,18.625,49.875,1
?,52.75,19.625,46.75,63.25,?,70.625,18.375,?,1
?,?,19.5,46.875,62.875,29.5,?,18.125,47.75,1
?,53.375,19.5,47.0,63.0,?,?,18.0,48.375,1
?,?,19.375,47.0,63.25,?,69.75,18.25,?,1
?,54.5,19.25,?,63.25,?,68.75,18.875,48.625,1
?,54.0,?,46.375,?,?,68.75,?,49.5,1
21.109,53.125,19.875,?,63.125,?,68.0,18.75,?,1
