attr1,attr2,attr3,attr4,attr5,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr47,attr48,attr49,attr6,attr23,attr46,outcome
?,2558.0,?,456.63,90.0,40.88,?,?,?,214.7,0.21,?,0.49,?,0.4,99.59,32.19,1.84,?,0.2,?,?,?,-0.01,3.78,0.22,?,?,-0.18,?,0.0,?,310.0,?,?,138.68,89.0,?,2850.0,1000.0,?,?,?,33243.19,?,7.95,?,?,0.0,1
?,22325.0,?,?,180.0,51.11,?,?,?,901.7,0.02,?,?,?,?,?,4061.15,2.3,?,?,?,?,132.78,-0.01,3.78,?,7.09,?,?,0.0,0.0,0.0,704.0,40140.0,?,68.65,?,?,5750.0,11500.0,9593.48,1648.8,0.6,51572.04,?,?,?,0.0,0.0,0
?,115.0,1449.85,608.43,?,?,?,?,?,?,?,?,0.5,?,0.34,71.2,?,?,?,?,?,?,?,-0.01,3.78,0.7,4.79,?,-0.23,?,0.0,1.95,?,?,?,38.8,89.0,69.0,?,250.0,?,?,?,31692.84,?,?,?,?,?,1
?,1201.0,1562.53,?,66.0,42.4,?,?,?,?,0.21,0.26,?,0.1,?,?,?,1.91,?,0.21,87.65,?,?,?,3.78,0.84,?,-3.54,-0.33,?,?,2.2,?,10080.0,?,108.27,89.0,?,6041.52,?,453.21,?,?,37696.21,65.67,?,3002500,0.0,?,1
?,?,950.27,440.86,?,41.43,7.03,3350.0,?,232.8,?,0.19,?,?,0.26,?,?,1.86,?,?,87.65,0.47,132.78,-0.01,3.78,0.02,2.28,-3.44,-0.44,2.19,0.0,?,45.0,2340.0,0.0,14.39,89.0,?,1320.04,710.63,?,?,2.58,29038.17,65.66,?,?,0.0,0.0,0
6.0,54.0,1438.13,544.91,?,?,?,1570.0,?,?,?,?,?,0.15,?,55.25,29.21,?,?,?,?,?,132.78,-0.01,3.78,?,3.34,-3.89,-0.25,?,?,1.96,12.0,720.0,0.01,18.26,?,?,?,?,150.0,?,4.06,30967.25,65.77,7.85,?,?,?,1
?,?,1446.29,?,?,?,?,3660.0,?,79.2,?,0.3,?,?,?,207.31,21.67,1.87,?,0.27,87.65,?,132.78,?,3.78,?,?,-3.5,-0.09,?,0.0,?,36.0,2070.0,?,?,89.0,69.0,?,403.11,?,114.82,6.44,31258.37,65.79,?,?,0.0,?,1
?,?,?,715.39,?,51.67,?,?,?,78.7,?,?,?,?,0.05,?,1678.13,2.32,?,?,87.65,?,132.78,-0.01,3.78,?,3.34,?,-0.4,1.95,?,1.95,18.0,1170.0,0.01,22.99,?,?,?,360.56,165.71,132.47,?,51985.06,?,?,?,0.0,?,0
?,188.0,964.23,?,?,38.9,5.89,?,?,?,0.19,0.24,?,?,?,?,49.55,1.75,0.14,0.19,?,?,132.78,-0.01,3.78,?,6.3,-3.58,?,?,0.0,?,43.0,2610.0,0.01,29.44,?,69.0,1569.24,492.44,256.77,124.72,?,28871.82,?,7.36,?,0.0,0.0,1
?,?,903.02,274.88,?,41.22,7.9,?,0.19,?,0.19,0.25,0.36,?,?,?,22.56,1.85,0.19,0.25,87.65,0.47,?,?,3.78,?,1.86,-1.39,?,2.2,0.0,2.2,17.0,?,0.01,21.39,89.0,69.0,471.7,223.61,182.83,?,2.58,32053.95,65.58,?,?,?,?,1
?,?,?,?,42.0,?,4.72,?,?,?,?,?,?,?,0.14,?,?,2.14,?,?,?,?,132.78,-0.01,3.78,?,?,?,?,1.94,0.0,?,?,?,?,21.97,89.0,69.0,?,?,120.21,?,?,55128.46,66.18,?,?,0.0,0.0,1
?,329.0,?,?,51.0,?,?,4610.0,?,178.4,?,?,?,0.12,?,?,?,2.02,?,?,75.26,0.47,351.67,0.18,?,?,2.57,-2.96,?,?,0.0,?,34.0,?,?,?,78.0,?,?,?,?,150.85,3.23,4530.75,66.25,7.85,?,0.0,0.0,0
?,?,1091.56,?,?,?,8.98,?,?,317.7,?,?,0.49,?,0.41,114.69,41.87,2.31,?,?,?,0.53,351.67,?,?,?,3.56,-3.09,?,2.17,0.0,2.17,281.0,14490.0,?,?,78.0,55.0,4287.77,3095.56,1937.42,773.69,?,?,66.15,?,?,0.0,0.0,0
?,2339.0,1537.68,?,?,38.13,?,?,0.24,264.5,0.21,0.26,?,0.08,?,89.49,?,2.2,?,?,75.26,0.51,351.67,?,?,?,4.21,?,?,?,0.0,2.16,228.0,12150.0,0.0,83.6,78.0,?,3959.8,2404.16,1530.38,659.67,2.59,4732.04,?,7.67,?,0.0,0.0,0
?,2971.0,1020.91,630.8,?,?,10.48,17380.0,0.32,427.4,?,?,0.5,?,0.42,149.87,?,1.89,?,?,75.26,0.44,?,0.18,9.24,2.5,10.63,-3.07,-0.28,2.18,?,?,164.0,8730.0,?,40.67,?,?,5650.88,1749.29,1245.07,348.7,?,25579.34,65.78,?,7427500,?,?,1
?,3155.0,1118.08,469.39,?,?,7.99,?,0.26,496.7,0.2,?,0.69,?,0.58,118.11,?,1.76,?,?,75.26,?,?,?,?,0.78,8.68,-3.19,-0.33,2.19,0.0,?,150.0,?,?,?,78.0,?,3471.31,3059.41,2043.9,477.23,?,28172.07,?,7.58,?,0.0,?,1
