Team;League;Year;outcome;RA;W;OBP;SLG;BA;Playoffs;RankSeason;RankPlayoffs;G;OOBP;OSLG
1.0;1.0;2012;734;688;81;0.32799999999999996;0.418;0.259;0;?;?;162;0.317;0.415
2.0;1.0;2012;700;600;94;0.32;0.389;0.247;1;4.0;5.0;162;0.306;0.37799999999999995
3.0;0.0;2012;712;705;93;0.311;0.41700000000000004;0.247;1;5.0;4.0;162;0.315;0.40299999999999997
4.0;0.0;2012;734;806;69;0.315;0.415;0.26;0;?;?;162;0.331;0.428
6.0;1.0;2012;613;759;61;0.302;0.37799999999999995;0.24;0;?;?;162;0.335;0.424
7.0;0.0;2012;748;676;85;0.318;0.42200000000000004;0.255;0;?;?;162;0.319;0.405
8.0;1.0;2012;669;588;97;0.315;0.41100000000000003;0.251;1;2.0;4.0;162;0.305;0.39
9.0;0.0;2012;667;845;68;0.324;0.381;0.251;0;?;?;162;0.336;0.43
10.0;1.0;2012;758;890;64;0.33;0.436;0.27399999999999997;0;?;?;162;0.35700000000000004;0.47
11.0;0.0;2012;726;670;88;0.335;0.42200000000000004;0.268;1;6.0;2.0;162;0.314;0.402
13.0;1.0;2012;583;794;55;0.302;0.371;0.23600000000000002;0;?;?;162;0.337;0.42700000000000005
15.0;0.0;2012;676;746;72;0.317;0.4;0.265;0;?;?;162;0.33899999999999997;0.423
16.0;0.0;2012;767;699;89;0.332;0.433;0.27399999999999997;0;?;?;162;0.31;0.40299999999999997
17.0;1.0;2012;637;597;86;0.317;0.374;0.252;0;?;?;162;0.31;0.364
18.0;1.0;2012;609;724;69;0.308;0.382;0.244;0;?;?;162;0.327;0.39899999999999997
19.0;1.0;2012;776;733;83;0.325;0.43700000000000006;0.259;0;?;?;162;0.326;0.414
20.0;0.0;2012;701;832;66;0.325;0.39;0.26;0;?;?;162;0.33299999999999996;0.442
23.0;1.0;2012;650;709;74;0.316;0.386;0.249;0;?;?;162;0.315;0.401
24.0;0.0;2012;804;668;95;0.337;0.45299999999999996;0.265;1;3.0;3.0;162;0.311;0.419
25.0;0.0;2012;713;614;94;0.31;0.40399999999999997;0.23800000000000002;1;4.0;4.0;162;0.306;0.37799999999999995
26.0;1.0;2012;684;680;81;0.317;0.4;0.255;0;?;?;162;0.306;0.40700000000000003
27.0;1.0;2012;651;674;79;0.304;0.395;0.243;0;?;?;162;0.314;0.39
28.0;1.0;2012;651;710;76;0.319;0.38;0.247;0;?;?;162;0.319;0.39799999999999996
29.0;0.0;2012;619;651;75;0.29600000000000004;0.369;0.23399999999999999;0;?;?;162;0.308;0.39399999999999996
31.0;1.0;2012;718;649;94;0.327;0.397;0.26899999999999996;1;4.0;1.0;162;0.313;0.39299999999999996
32.0;1.0;2012;765;648;88;0.33799999999999997;0.42100000000000004;0.271;1;6.0;3.0;162;0.313;0.387
34.0;0.0;2012;697;577;90;0.317;0.39399999999999996;0.24;0;?;?;162;0.294;0.35200000000000004
35.0;0.0;2012;808;707;93;0.33399999999999996;0.446;0.273;1;5.0;5.0;162;0.309;0.408
36.0;0.0;2012;716;784;73;0.309;0.40700000000000003;0.245;0;?;?;162;0.335;0.43799999999999994
38.0;1.0;2012;731;594;98;0.322;0.428;0.261;1;1.0;4.0;162;0.303;0.373
1.0;1.0;2011;731;662;94;0.322;0.413;0.25;1;5.0;4.0;162;0.316;0.409
2.0;1.0;2011;641;605;89;0.308;0.387;0.243;0;?;?;162;0.31;0.361
3.0;0.0;2011;708;860;69;0.316;0.413;0.257;0;?;?;162;0.341;0.46
4.0;0.0;2011;875;737;90;0.349;0.461;0.28;0;?;?;162;0.322;0.392
6.0;1.0;2011;654;756;71;0.314;0.401;0.256;0;?;?;162;0.335;0.413
7.0;0.0;2011;654;706;79;0.319;0.38799999999999996;0.252;0;?;?;162;0.317;0.397
8.0;1.0;2011;735;720;79;0.326;0.408;0.256;0;?;?;162;0.325;0.415
9.0;0.0;2011;704;760;80;0.317;0.396;0.25;0;?;?;162;0.32299999999999995;0.413
10.0;1.0;2011;735;774;73;0.32899999999999996;0.41;0.258;0;?;?;162;0.331;0.431
11.0;0.0;2011;787;711;95;0.34;0.434;0.27699999999999997;1;4.0;3.0;162;0.321;0.396
12.0;1.0;2011;625;702;72;0.318;0.38799999999999996;0.247;0;?;?;162;0.316;0.401
13.0;1.0;2011;615;796;56;0.311;0.374;0.258;0;?;?;162;0.337;0.43200000000000005
15.0;0.0;2011;730;762;71;0.32899999999999996;0.415;0.275;0;?;?;162;0.337;0.425
16.0;0.0;2011;667;633;86;0.313;0.402;0.253;0;?;?;162;0.313;0.38799999999999996
17.0;1.0;2011;644;612;82;0.322;0.375;0.257;0;?;?;161;0.31;0.371
19.0;1.0;2011;721;638;96;0.325;0.425;0.261;1;3.0;3.0;162;0.304;0.385
20.0;0.0;2011;619;804;63;0.306;0.36;0.247;0;?;?;162;0.34;0.435
