m;sem;h;N;X;outcome;Tmin;IntTem;Tmed;Vmax;Vmin;Intvel;Vmed;oil;Presion;Peso;Retraso;tempsuelo
10;7;3;4;?;8.17;6.33;0.136;7.33;7.01;6.98;0.003;7;9.7;12.3;1021.7;0;58
10;7;4;5;?;8.17;5.67;0.307;6.25;7.04;7;0.004;7.03;9.4;11.6;1021.4;0;61
10;7;5;6;?;6.17;5.5;0.066;5.89;7.08;7.05;0.002;7.07;9;11;1021;0;64
10;7;6;7;?;6.83;5.67;0.117;6.42;7.09;7.08;0.001;7.08;8.7;10.7;1021.3;0;67.3
10;7;7;8;?;9;6.83;0.163;8.17;7.1;7.08;0.002;7.09;8.4;10.4;1021.6;0;70.6
10;7;8;9;?;18.5;9.5;0.405;13.17;7.07;7.01;0.004;7.04;8;10;1022;0;74
10;7;9;10;?;26.67;18.83;0.179;22.94;6.99;6.87;0.009;6.93;8;12.3;1022;0;66.7
10;7;10;11;?;27.33;25.17;0.057;26.69;6.88;6.82;0.006;6.86;8;14.6;1022;0;59.4
10;7;11;12;?;26.83;23.83;0.065;25.5;6.89;6.83;0.004;6.86;8;17;1022;0;52
10;7;12;13;?;24.33;19.17;0.123;21.86;6.93;6.88;0.005;6.89;8.7;19;1021.7;0;46.3
10;7;13;14;?;20;17.83;0.064;18.81;6.97;6.9;0.007;6.95;9.4;21;1021.4;0;40.6
10;7;14;15;?;17.67;16.5;0.041;16.97;6.98;6.95;0.002;6.96;10;23;1021;0;35
10;7;15;16;?;18.83;17.33;0.046;18.17;6.96;6.92;0.003;6.94;10;23.3;1020.3;0;33
10;7;16;17;?;19.67;15;0.166;16.86;6.97;6.91;0.006;6.95;10;23.6;1019.6;0;31
10;7;17;18;?;16.33;14.5;0.069;15.28;6.99;6.96;0.003;6.97;10;24;1019;0;29
10;7;18;19;?;16;14.67;0.051;15.22;7.01;6.96;0.006;6.97;10;22;1019.3;0;33.7
10;7;19;20;?;14.5;13.33;0.044;13.89;7.01;6.98;0.002;7;10;20;1019.6;0;38.4
10;7;20;21;?;15.17;13.33;0.071;14.17;7.01;6.98;0.003;6.99;10;18;1020;0;43
10;7;21;22;?;16.67;14.5;0.085;15.36;6.98;6.96;0.002;6.98;10;16.7;1020.7;0;47
10;7;22;23;?;15.67;13.83;0.062;14.75;6.99;6.97;0.002;6.98;10;15.4;1021.4;0;51
10;7;23;24;?;15;12.83;0.082;13.86;7.02;6.98;0.003;7;10;14;1022;0;55
10;1;0;25;?;12.5;10.33;0.116;11.69;7.04;7.01;0.002;7.03;9.7;13.3;1022.3;0;59.7
10;1;1;26;?;10.67;8.17;0.164;9.17;7.08;7.04;0.004;7.06;9.4;12.6;1022.6;0;64.4
10;1;2;27;?;8.5;7;0.105;7.69;7.1;7.06;0.003;7.08;9;12;1023;0;69
10;1;3;28;?;9.17;7;0.16;8.33;7.1;7.09;0.001;7.09;8.7;11.3;1023;0;72.3
10;1;4;29;?;9.5;6.5;0.315;7.22;7.12;7.1;0.001;7.11;8.4;10.6;1023;0;75.6
10;1;5;30;?;6.67;6.17;0.039;6.42;7.12;7.11;0.001;7.12;8;10;1023;0;79
10;1;6;31;?;7;6.5;0.041;6.72;7.16;7.13;0.002;7.14;7.3;9.7;1023.3;0;81.3
10;1;7;32;?;8.5;6.83;0.115;7.72;7.15;7.12;0.002;7.13;6.6;9.4;1023.6;0;83.6
10;1;8;33;?;14.5;8.33;0.277;11.53;7.13;7.09;0.003;7.11;6;9;1024;0;86
