company1;company2;company3;company4;company5;company6;company7;company8;company9;binaryClass
17.219;?;18.75;43;?;26.375;67.75;19;?;1
?;?;19.625;?;62;26.125;?;19.125;?;1
?;?;19.875;43.875;61.875;27.25;68.5;18.25;?;1
18.672;?;?;?;62.625;27.875;69.375;18.375;?;1
17.438;?;20;41.375;59.75;?;63.25;16.5;?;1
18.109;?;19.5;?;59.625;26.625;66.25;17.125;?;1
18.563;49.375;?;?;?;27.25;65.75;16.875;?;1
18.672;?;19.25;43;61.75;28;66;?;?;1
?;?;19;?;61.75;?;65.75;17.125;?;1
19.063;?;?;?;61.875;?;66.875;?;?;1
?;?;?;?;62.125;?;66.5;?;?;1
19.063;?;20;?;61.25;29.875;66.5;16.875;?;1
18.719;?;19;43.5;60.375;29;?;?;?;1
18.438;?;18.375;?;60.375;29;65;16.5;47.5;1
19.063;?;18.375;?;60.375;?;65.75;16.375;?;1
20;?;?;?;60.75;30;67;16.75;?;1
19.891;?;18.25;44.625;60.875;30;66.25;17;?;1
19.563;?;18.625;?;?;?;66.5;16.875;?;1
?;?;?;?;61.875;31.375;67.375;17.625;?;1
20.328;?;?;?;?;?;67.625;17.875;?;1
20.563;?;18.875;?;63.375;32.125;67;18;?;1
20.438;?;?;46.125;?;32.125;66.375;18.25;?;1
20.5;?;?;46;63.25;?;?;?;47.75;1
20.563;?;?;?;63.25;30;67.375;18.25;47.5;1
20.328;?;19;45.5;62.375;?;67.375;?;46;1
?;52.875;?;?;61.375;29.25;67.375;?;?;1
20.391;?;?;45.125;61.625;?;67.5;?;46;1
20.891;52.75;19.25;?;62;?;?;?;46.75;1
20.891;?;19;?;62;29.875;68.5;17.625;?;1
21.063;?;?;?;62.25;29.875;68.875;?;47.25;1
21.281;?;19.125;46.875;62;29.375;69.25;18.25;47.125;1
21.219;?;18.875;?;?;28.875;69;18.25;?;1
20.891;?;18.625;?;61.375;?;?;17.75;47.75;1
?;?;?;?;62.25;?;69.75;?;?;1
?;?;19.125;?;63;29.125;?;?;?;1
21.219;53.125;20;?;63.25;28.75;?;18.625;48;1
?;?;?;?;?;28.375;?;18.125;?;1
?;?;?;46.375;63.25;27.625;69.5;18.125;49.125;1
?;?;?;45.75;?;?;?;18.375;?;1
21.109;?;19.25;?;63.5;28.125;70.625;18.625;49.875;1
20.891;?;19.625;46.75;63.25;?;70.625;18.375;?;1
20.438;?;?;?;?;29.5;70.25;18.125;?;1
?;?;19.5;?;63;?;70.125;?;?;1
20.828;53.875;19.375;?;?;30.125;69.75;?;?;1
21.063;?;19.25;46.75;63.25;30.25;68.75;18.875;48.625;1
21.063;?;19.5;46.375;63.75;30.5;68.75;18.875;?;1
21.109;?;?;?;?;30;?;18.75;?;1
21.172;53;?;?;62.5;?;67;18.875;50.25;1
?;53;?;45.875;62;?;67.125;19;?;1
21.281;?;?;45.625;62.125;30;67.5;?;?;1
?;?;20.625;?;62.375;?;67.375;19.75;?;1
?;?;?;46.625;62.75;29.875;68.125;?;?;1
