A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
65;?;2;4;?;39;?;2;?;161;?;0;0;?;0
?;?;2;?;4;?;1;?;?;?;?;?;0;?;0
142;52;?;4;?;?;?;?;98;?;?;0;0;?;0
?;?;?;?;?;?;12;?;1;1;?;?;1;1;1
44;134;2;6;?;?;?;2;18;68;?;1;1;0;1
?;?;2;?;8;?;3;?;?;?;0;1;1;0;1
?;?;?;?;4;?;?;?;18;?;?;?;?;?;0
330;94;2;11;8;?;?;?;12;120;0;1;?;?;1
126;?;1;2;?;65;1;?;61;?;?;?;0;0;0
?;125;2;4;8;100;?;2;?;?;0;?;?;1;0
183;52;?;14;?;81;5;2;?;?;?;1;?;?;1
?;?;?;?;8;85;7;?;148;1;1;?;?;1;1
49;40;1;8;8;34;?;2;45;79;?;?;?;?;0
198;102;?;14;?;?;?;2;?;150;?;1;1;1;1
329;?;2;8;4;?;?;?;?;1;1;?;0;?;0
284;116;2;4;4;2;1;?;?;196;1;0;0;?;1
142;?;2;9;?;?;?;2;?;1;1;?;?;1;1
?;139;?;6;4;20;?;2;26;124;0;?;1;0;1
42;?;?;4;4;4;?;?;45;?;?;0;0;?;0
?;?;2;11;?;?;?;?;41;202;0;1;?;?;1
?;20;2;6;?;?;?;?;92;151;0;?;0;?;0
?;20;1;?;4;16;?;2;?;1;?;?;0;?;0
?;?;2;2;4;?;?;2;?;?;1;?;0;0;0
250;52;?;4;?;6;?;?;?;?;?;1;0;?;0
38;146;2;?;?;21;1;2;24;101;1;0;?;?;0
176;46;2;?;8;?;?;?;?;1;?;1;1;?;1
70;?;?;4;?;?;?;2;69;?;?;0;?;0;0
?;74;?;?;8;48;2;?;63;?;1;1;?;?;1
?;175;?;8;4;?;?;2;?;?;0;?;1;?;1
77;?;?;?;4;28;12;2;18;?;?;?;1;1;1
118;26;?;8;8;?;?;?;?;66;1;1;?;?;1
?;160;?;14;8;1;1;2;?;28;?;0;0;1;0
305;43;1;8;?;?;?;?;?;50;1;1;0;1;0
?;169;?;9;?;50;?;?;?;92;1;1;1;?;1
?;?;2;7;?;123;2;2;?;54;1;0;?;1;0
348;204;1;1;?;2;3;2;?;102;?;?;?;?;0
95;?;?;6;?;65;1;1;3;1;?;1;0;?;1
?;?;?;?;4;?;7;2;20;?;1;?;?;?;1
?;?;2;8;?;106;7;?;?;164;?;1;?;?;1
?;?;2;?;4;?;3;2;155;178;0;?;?;?;1
?;?;2;?;?;3;?;2;1;1;?;?;0;0;1
71;46;1;?;?;15;1;2;?;?;?;?;0;?;0
115;?;?;14;?;?;?;2;?;216;?;?;0;?;1
338;?;2;8;4;?;?;2;?;?;1;1;1;?;0
84;?;1;?;?;?;?;2;?;?;1;0;1;?;0
?;156;2;?;4;?;?;?;?;?;0;?;?;1;1
90;?;1;8;4;?;?;?;?;?;?;?;0;?;0
?;2;?;8;?;2;?;?;1;1;?;0;?;0;1
?;55;?;?;8;47;?;2;?;?;?;0;0;?;0
308;196;2;8;4;93;?;2;1;188;0;1;1;0;1
?;82;?;4;4;14;?;2;84;?;?;0;0;?;0
?;?;1;3;?;?;1;2;?;50;1;0;?;?;0
?;5;1;4;?;3;?;?;76;185;?;?;0;0;0
?;52;1;8;?;54;1;2;?;?;?;0;0;?;0
?;?;?;11;?;?;3;2;119;2;?;0;?;1;0
?;46;2;9;?;47;12;?;140;?;1;1;?;?;1
