CRIM;ZN;INDUS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;CHAS;binaryClass
?;?;2.31;0.538;?;?;?;1;296;15.3;396.9;?;0;0
?;0;?;0.469;?;78.9;?;?;?;?;?;?;0;1
0.02729;?;7.07;0.469;?;?;49.671;?;242;17.8;?;4.03;?;0
?;?;?;0.458;?;?;?;3;222;?;?;?;?;0
?;0;2.18;?;7.147;?;60.622;?;?;18.7;396.9;?;0;0
?;0;?;?;?;58.7;60.622;3;?;18.7;?;5.21;0;0
0.08829;12.5;?;?;6.012;66.6;55.605;5;311;?;395.6;?;0;0
0.14455;?;?;0.524;?;96.1;59.505;?;311;?;396.9;?;0;0
0.21124;12.5;7.87;?;5.631;100;60.821;5;311;15.2;?;?;0;1
0.17004;?;?;0.524;6.004;85.9;?;?;311;15.2;386.71;17.1;?;1
0.22489;?;?;?;6.377;94.3;?;5;311;?;392.52;20.45;?;1
0.11747;?;7.87;?;?;?;62.267;5;?;15.2;396.9;13.27;?;1
?;12.5;?;?;?;?;54.509;5;?;?;390.5;15.71;?;1
?;0;8.14;?;?;61.8;?;4;307;21;396.9;?;?;1
0.63796;0;?;?;6.096;84.5;44.619;?;307;21;380.02;?;0;1
0.62739;?;8.14;0.538;5.834;?;44.986;?;?;21;395.62;?;?;1
105.393;0;8.14;?;5.935;29.3;44.986;?;307;21;?;?;0;0
0.7842;?;?;0.538;?;81.7;42.579;?;?;21;386.75;?;?;1
0.80271;0;?;0.538;?;?;?;?;?;?;?;11.69;0;1
?;0;?;0.538;5.727;?;37.965;4;307;?;?;11.28;?;1
125.179;0;8.14;?;?;?;37.979;?;?;?;376.57;?;?;1
?;?;8.14;?;5.965;89.2;40.123;4;?;21;392.53;?;?;1
?;?;8.14;0.538;?;?;39.769;?;?;21;?;?;?;1
?;?;?;?;5.813;?;?;4;?;21;394.54;19.88;0;1
0.75026;0;8.14;?;?;?;?;4;?;?;394.33;16.3;?;1
