ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G
6.817606174047697e-09,2.501861551262863e-09,,1.2300263807496492e-08,-3.2622945872473608e-09,7.1018950720258545e-09,7.84555609367743e-09,-1.083307039628778e-07,-2.8949552199897255e-08,,3.3994967396644427e-09,4.0280949686888334e-08,-2.0061073358057513e-08,-2.1645440106965452e-08,1.3297226209019186e-08,,-4.9790561007512224e-08,1.6649718409533776e-09,2.7645292055566983e-08,-6.665093615909612e-10,5.45158824749592e-08,-7.452508166139182e-09,,-3.5353136251803363e-09,1.0186538501599784e-08,4.332575453958043e-08,7.391776246645776e-09,-1.1896309937142746e-07,,2.791509523536462e-10,-2.5298089179059957e-09,,2.8573869048642564e-08,,-6.154174503336662e-09,1.7297961951712182e-09
5.822325510607129e-09,-4.616248383548793e-09,1.0466629840610864e-08,-3.6638820866130573e-09,-2.3723452646784438e-09,1.1605876648612679e-08,7.128046000670629e-10,1.2557475947971852e-08,1.1846773145807177e-09,2.3066147325501163e-09,1.2429162143945405e-09,-2.8940353891115933e-08,2.091662576475528e-08,-4.587707858050294e-08,-1.7297251825310056e-09,3.274647109030582e-08,-1.8756207920134216e-08,1.6649718409533776e-09,-1.405988636626887e-08,-6.665093615909612e-10,4.7042987283418825e-09,-7.408803792685603e-09,-2.2380575517844115e-10,3.552764304970424e-09,-7.3841525949358555e-09,1.4202641951399642e-08,7.391776246645776e-09,1.265459148580561e-08,8.395747819189836e-09,1.7704496757531274e-09,-8.122492789475189e-09,-1.2145087158188517e-09,-7.848342420402332e-09,1.8397906531575359e-09,5.0989693023417715e-09,3.5130009595762957e-09
6.817606174047697e-09,8.054535302615129e-10,-3.1892161411750664e-09,8.60732790597396e-09,5.3209487926864085e-09,2.084781447475592e-08,7.128046000670629e-10,-1.22848743955295e-08,1.1846773145807177e-09,,1.7983032146728917e-09,5.283455672966397e-09,2.091662576475528e-08,1.114043179928359e-08,7.646393407334529e-09,-4.4590142689315826e-10,-9.644677767539633e-08,-6.655079987094581e-09,8.088447522869302e-09,1.4025586303478832e-08,-2.0257410526802744e-08,-7.452508166139182e-09,-2.2380575517844115e-10,5.956789894678849e-09,5.3653158582633864e-09,-2.220061828817066e-09,7.391776246645776e-09,1.3594084635748516e-08,,9.174342535667179e-10,-2.1544934614148303e-08,-1.3294590373025272e-08,-2.9471646234568993e-08,-2.984416325180206e-09,6.441626898556763e-09,1.4017981941893964e-08
1.5747083415007523e-08,8.054535302615129e-10,,3.8117749401322953e-08,2.246578395537213e-09,3.548427857102965e-09,4.358637617496441e-09,5.3774981689791446e-09,1.1846773145807177e-09,,-1.2122018944182855e-08,-1.3482235661221864e-08,7.879345231831536e-09,-9.052707472534394e-10,-1.7297251825310056e-09,8.440708754164916e-08,-1.8756207920134216e-08,-5.241536515931955e-08,1.9486724872619376e-09,-6.665093615909612e-10,5.4871422405788906e-09,-7.452508166139182e-09,-9.033873926700409e-10,-9.421378732721308e-09,2.177948738024682e-09,-1.0736919853204796e-08,-1.469943819443209e-10,1.9053781441513706e-08,,5.4736757904017e-09,8.655558936254693e-09,5.223412258281712e-09,-4.232805284054564e-08,,-2.8187968292847643e-08,1.7612777902797916e-10
-1.2064677701317805e-08,2.501861551262863e-09,6.3155791707458775e-09,-7.973684934547975e-09,1.4235178147359306e-08,-1.1879180750185014e-08,-3.25085752761467e-09,-7.653028544218898e-09,-2.928145537151039e-08,,-5.717244844216651e-09,1.1286485912531674e-08,1.0206725020722729e-08,-5.4749966782452475e-09,1.3297226209019186e-08,5.3668736343936985e-08,-2.0253974719608436e-08,-7.561115900056592e-10,5.150384257968099e-09,-6.665093615909612e-10,1.3734552384292442e-09,-7.452508166139182e-09,-1.910351155043344e-09,-4.620676841149418e-08,4.329641478673096e-09,5.680029357968408e-08,7.391776246645776e-09,7.704525240015414e-09,,1.1224138063425926e-08,1.8324219475118753e-08,5.621292431534641e-09,-5.704515815274647e-08,4.0927788380606955e-09,-5.679332071295562e-08,-5.340849984492024e-11
3.6230624750333007e-10,2.501861551262863e-09,-4.849636414672176e-09,-2.9591235017889517e-10,4.997330854683568e-09,2.5439536699423115e-08,7.128046000670629e-10,-4.2185507309611125e-09,-2.8949552199897255e-08,2.6770279396015617e-10,-1.8945033319894833e-09,5.4450270681183355e-09,1.3934486398081702e-08,-2.4365625739264374e-08,7.646393407334529e-09,1.654055559185963e-09,2.192382220211897e-09,-5.657539103864906e-08,-3.8445300831746465e-09,1.4025586303478832e-08,1.9128282846558875e-08,-7.452508166139182e-09,3.4258433589950954e-09,1.0039835740549563e-08,-1.5272555442535918e-09,1.208344857506205e-08,6.333397070679148e-10,-1.5308712630890398e-09,3.789564773093446e-09,4.919175666806552e-08,-6.605785585200863e-09,1.4229132649923315e-08,2.3594911691127152e-08,8.916985816398437e-09,-5.64624869081598e-09,2.4889843797115674e-09
-6.092993665163249e-09,8.054535302615129e-10,-5.6372252699166125e-09,-1.2129465210009016e-09,-2.695963202681284e-09,-1.5827467558793273e-08,4.358637617496441e-09,3.724174080232956e-09,1.1846773145807177e-09,-5.897804883359115e-10,1.7983032146728917e-09,5.283455672966397e-09,7.879345231831536e-09,-4.314252843862221e-08,-1.7297251825310056e-09,2.7838428229287615e-08,-1.8329422868390566e-08,-6.655079987094581e-09,-1.3216137184635102e-08,-1.3286894029462815e-08,2.6460978519438072e-08,-7.408803792685603e-09,2.3184210246052217e-09,5.3655811349528904e-08,1.1222212881190075e-08,-2.8449847366829317e-08,2.886151873049414e-09,1.071799426988207e-08,5.823265514237619e-08,9.174342535667179e-10,-1.6351468529879343e-10,1.0640905934167222e-09,5.5550417876748526e-09,-1.7135188060124484e-10,-3.6499789857202813e-09,-8.58094056921388e-09
-2.4366889617155607e-08,-4.616248383548793e-09,3.4450460539847683e-10,-1.829813633946742e-09,4.859047799538052e-11,-6.702517707513067e-09,-1.434727114890677e-08,5.666907776369356e-10,3.198271714133227e-08,6.0342738028573706e-09,9.31385130131801e-09,-3.937818598975795e-09,-3.5969978731675845e-11,7.291197257064397e-09,7.646393407334529e-09,-5.817848891531696e-08,-3.502226775253803e-08,1.482719053091941e-08,-6.345658637441076e-09,-6.665093615909612e-10,3.5700922218495634e-09,-7.408803792685603e-09,-6.664551666091256e-08,-1.3542400978394653e-08,1.4716298046835163e-07,-1.153784401353164e-09,-6.23210638650562e-09,7.303467941532915e-09,3.4812366767056346e-08,-2.820838851391727e-08,-1.0131016581205188e-09,4.5344847876549466e-09,-1.5741051573314735e-08,8.282057883945981e-08,2.0006418299800544e-07,1.7741889823952306e-07
9.8034481643694e-09,2.501861551262863e-09,-1.8132998658160204e-08,-1.5976423739516576e-08,8.483591718011496e-09,6.132514807077882e-08,8.717191413154524e-10,-7.934253809516179e-09,-2.928145537151039e-08,-1.2237275304194384e-08,1.2429162143945405e-09,-6.895436399645405e-08,-5.623411264421563e-09,1.5487665261382233e-08,1.3297226209019186e-08,-7.4030340191377775e-09,2.4198653358897815e-09,1.482719053091941e-08,8.152441077768913e-08,1.4025586303478832e-08,1.9072365464722907e-08,-7.496212539592761e-09,-3.670797461552411e-07,-1.2939365046094053e-07,3.5494002403879676e-07,3.6615126486339022e-09,-3.6866485331188414e-07,-5.816201464892146e-09,1.1836598368120121e-08,-3.765281003653698e-09,3.821227834155394e-09,,,,,-1.5081263526894872e-07
-2.4366889617155607e-08,-2.3741404064914207e-08,3.334002984800577e-08,-1.1066286553784721e-08,1.5603186298562832e-08,-1.1602828697832024e-09,-5.017178361654828e-08,4.154564137159866e-09,1.5165804723160647e-09,2.7829762938580416e-09,1.928238235748836e-09,-5.75317654627483e-09,2.2317007353223062e-08,8.833763942561745e-09,7.646393407334529e-09,1.7896177206822017e-08,2.7046438200173384e-08,-3.859335961919896e-09,4.623087357380484e-09,1.4025586303478832e-08,1.924011761023081e-08,-7.452508166139182e-09,-1.8075141383633309e-09,-7.513349054022456e-09,-5.2328667621281966e-08,7.2340510803847735e-09,1.325483750536094e-09,-1.8907065579831794e-08,-1.3581243685223399e-08,-2.0245998766377227e-08,2.342508367836338e-09,,1.0915777837183782e-07,-3.3901553564419373e-07,-1.8123151157567463e-07,1.363702004653078e-07
